source,content,time,author,title
Twitter for iPhone,“....An incredibly corrupt FBI &amp; DOJ trying to steer the outcome of a Presidential Election. Brennan has gone off the deep end he’s disgraced and discredited himself. His conduct has been outrageous.” Chris Farrell Judicial Watch.,8/17/18 1:49,D_Trump28,D_Trump2018_8_17_1_49
Twitter for iPhone,How can “Senator” Richard Blumenthal who went around for twenty years as a Connecticut politician bragging that he was a great Marine war hero in Vietnam (then got caught and sobbingly admitted he was neither a Marine nor ever in Vietnam) pass judgement on anyone? Loser!,8/17/18 0:56,D_Trump29,D_Trump2018_8_17_0_56
Twitter for iPhone,.@TuckerCarlson speaking of John Brennan: “How did somebody so obviously limited intellectually get to be CIA Director in the first place?” Now that is a really good question! Then followed by “Richard Blumenthal of Connecticut is a FAKE War Hero...” So true a total Fake!,8/17/18 0:45,D_Trump30,D_Trump2018_8_17_0_45
Twitter for iPhone,“Very concerned about Comey’s firing afraid they will be exposed” said Bruce Ohr. DOJ’s Emails &amp; Notes show Bruce Ohr’s connection to (phony &amp; discredited) Trump Dossier. A creep thinking he would get caught in a dishonest act. Rigged Witch Hunt!,8/16/18 23:53,D_Trump31,D_Trump2018_8_16_23_53
Twitter for iPhone,“While Steele shopped the document to multiple media outlets he also asked for help with a RUSSIAN Oligarch.”  Catherine Herridge of @FoxNews  @LouDobbs  In other words they were colluding with Russia!,8/16/18 23:45,D_Trump32,D_Trump2018_8_16_23_45
Twitter for iPhone,“The FBI received documents from Bruce Ohr (of the Justice Department &amp; whose wife Nelly worked for Fusion GPS).” Disgraced and fired FBI Agent Peter Strzok. This is too crazy to be believed! The Rigged Witch Hunt has zero credibility.,8/16/18 23:37,D_Trump33,D_Trump2018_8_16_23_37
Twitter for iPhone,Turkey has taken advantage of the United States for many years. They are now holding our wonderful Christian Pastor who I must now ask to represent our Country as a great patriot hostage. We will pay nothing for the release of an innocent man but we are cutting back on Turkey!,8/16/18 23:30,D_Trump34,D_Trump2018_8_16_23_30
Twitter for iPhone,Thank you for the kind words Omarosa! https://t.co/PMmNG6iIsi,8/16/18 18:55,D_Trump35,D_Trump2018_8_16_18_55
Twitter for iPhone,Great @Cabinet meeting today at the @WhiteHouse! https://t.co/RwOhQF9SEv,8/16/18 18:43,D_Trump36,D_Trump2018_8_16_18_43
Twitter for iPhone,The Queen of Soul Aretha Franklin is dead. She was a great woman with a wonderful gift from God her voice. She will be missed!,8/16/18 15:36,D_Trump37,D_Trump2018_8_16_15_36
Twitter for iPhone,There is nothing that I would want more for our Country than true FREEDOM OF THE PRESS. The fact is that the Press is FREE to write and say anything it wants but much of what it says is FAKE NEWS pushing a political agenda or just plain trying to hurt people. HONESTY WINS!,8/16/18 14:10,D_Trump38,D_Trump2018_8_16_14_10
Twitter for iPhone,The Boston Globe which was sold to the the Failing New York Times for 1.3 BILLION DOLLARS (plus 800 million dollars in losses &amp; investment) or 2.1 BILLION DOLLARS was then sold by the Times for 1 DOLLAR. Now the Globe is in COLLUSION with other papers on free press. PROVE IT!,8/16/18 14:00,D_Trump39,D_Trump2018_8_16_14_0
Twitter for iPhone,THE FAKE NEWS MEDIA IS THE OPPOSITION PARTY. It is very bad for our Great Country....BUT WE ARE WINNING!,8/16/18 12:50,D_Trump40,D_Trump2018_8_16_12_50
Twitter for iPhone,Our Economy is doing better than ever. Money is pouring into our cherished DOLLAR like rarely before companies earnings are higher than ever inflation is low &amp; business optimism is higher than it has ever been. For the first time in many decades we are protecting our workers!,8/16/18 12:43,D_Trump41,D_Trump2018_8_16_12_43
Twitter for iPhone,“I’d strip the whole bunch of them. They’re all corrupt. They’ve all abused their power. They’ve all betrayed the American people with a political agenda. They tried to steal and influence an election in the United States.” @seanhannity,8/16/18 2:40,D_Trump42,D_Trump2018_8_16_2_40
Twitter for iPhone,Mark Levin “When they had power they didn’t stop the Russians the Chinese the North Koreans they funded the Iranians &amp; are responsible for the greatest scandal in American history by interfering with our election &amp; trying to undermine the Trump Campaign and Trump Presidency.”,8/16/18 2:31,D_Trump43,D_Trump2018_8_16_2_31
Twitter for iPhone,“WE’RE NOT GOING TO MAKE AMERICA GREAT AGAIN IT WAS NEVER THAT GREAT.” Can you believe this is the Governor of the Highest Taxed State in the U.S. Andrew Cuomo having a total meltdown!,8/16/18 2:02,D_Trump44,D_Trump2018_8_16_2_2
Twitter for iPhone,“WE’RE NOT GONG TO MAKE AMERICA GREAT AGAIN IT WAS NEVER THAT GREAT.”  Can you believe this is the Governor of the Highest Taxed State in the U.S. Andrew Cuomo having a total meltdown!,8/16/18 1:53,D_Trump45,D_Trump2018_8_16_1_53
Twitter for iPhone,“Hillary Clinton clearly got a pass by the FBI. We have the unfortunate situation where they then decided they were going to frame Donald Trump” concerning the Rigged Witch Hunt. JOE DIGENOVA former U.S. Attorney.,8/16/18 1:14,D_Trump46,D_Trump2018_8_16_1_14
Twitter for iPhone,“John Brennan is a stain on the Country we deserve better than this.” Former Secret Service Agent and author of new book “Spygate the Attempted Sabotage of Donald J. Trump” Dan Bongino. Thank you Dan and good luck with the book!,8/16/18 1:00,D_Trump47,D_Trump2018_8_16_1_0
Twitter for iPhone,RT @Rasmussen_Poll: Today’s @realDonaldTrump approval ratings among black voters: 36% This day last year: 19% https://t.co/mazBCWoIMy @…,8/15/18 19:52,D_Trump48,D_Trump2018_8_15_19_52
Twitter for iPhone,Chuck Schumer I agree! https://t.co/KfoLkQU5Hv,8/15/18 18:34,D_Trump49,D_Trump2018_8_15_18_34
Twitter for iPhone,Our Country was built on Tariffs and Tariffs are now leading us to great new Trade Deals - as opposed to the horrible and unfair Trade Deals that I inherited as your President. Other Countries should not be allowed to come in and steal the wealth of our great U.S.A. No longer!,8/15/18 15:04,D_Trump50,D_Trump2018_8_15_15_4
Twitter for iPhone,Happy Birthday to the leader of the Democrat Party Maxine Waters!,8/15/18 14:57,D_Trump51,D_Trump2018_8_15_14_57
Twitter for iPhone,“The action (the Strzok firing) was a decisive step in the right direction in correcting the wrongs committed by what has been described as Comey’s skinny inner circle.”  Chris Swecker former FBI Assistant Director.,8/15/18 14:15,D_Trump52,D_Trump2018_8_15_14_15
Twitter for iPhone,The Rigged Russian Witch Hunt goes on and on as the “originators and founders” of this scam continue to be fired and demoted for their corrupt and illegal activity. All credibility is gone from this terrible Hoax and much more will be lost as it proceeds. No Collusion!,8/15/18 14:08,D_Trump53,D_Trump2018_8_15_14_8
Twitter for iPhone,My friend and very early supporter Kris Kobach won the Republican Nomination for Governor of Kansas last night in a tough race against a very fine opponent. Kris will win in November and be a great Governor. He has my complete and total Endorsement!,8/15/18 13:51,D_Trump54,D_Trump2018_8_15_13_51
Twitter for iPhone,It is about time that Connecticut had a real and talented Governor. Bob Stefanowski is the person needed to do the job. Tough on crime Bob is also a big cutter of Taxes. He will win in November and make a Great Governor a major difference maker. Bob has my total Endorsement!,8/15/18 13:39,D_Trump55,D_Trump2018_8_15_13_39
Twitter for iPhone,.@PeteStauber won big last night in Minnesota. A big star in Hockey he will be an even bigger star in politics. It all begins with a win in November. Pete has my complete and total Endorsement!,8/15/18 13:31,D_Trump56,D_Trump2018_8_15_13_31
Twitter for iPhone,“People who enter the United States without our permission are illegal aliens and illegal aliens should not be treated the same as people who entered the U.S. legally.” Chuck Schumer in 2009 before he went left and haywire!  @foxandfriends,8/15/18 13:18,D_Trump57,D_Trump2018_8_15_13_18
Twitter for iPhone,Congratulations to Bryan Steil on a wonderful win last night. You will be replacing a great guy in Paul Ryan and your win in November will make the entire State of Wisconsin very proud. You have my complete and total Endorsement!,8/15/18 13:14,D_Trump58,D_Trump2018_8_15_13_14
